,REV_ID,score,compound,sentiment,label,sexist score
23,1472,"{'neg': 0.044, 'neu': 0.728, 'pos': 0.228, 'compound': 0.7241}",0.7241,pos,not sexist,0.997354984
24,730,"{'neg': 0.051, 'neu': 0.807, 'pos': 0.141, 'compound': 0.9981}",0.9981,pos,not sexist,0.997354984
25,1197,"{'neg': 0.083, 'neu': 0.737, 'pos': 0.18, 'compound': 0.9449}",0.9449,pos,not sexist,0.997354984
26,31,"{'neg': 0.1, 'neu': 0.784, 'pos': 0.116, 'compound': 0.5722}",0.5722,pos,not sexist,0.997356176
27,1503,"{'neg': 0.101, 'neu': 0.772, 'pos': 0.127, 'compound': 0.6184}",0.6184,pos,not sexist,0.997362554
28,1228,"{'neg': 0.15, 'neu': 0.738, 'pos': 0.112, 'compound': -0.9758}",-0.9758,neg,not sexist,0.997362554
29,761,"{'neg': 0.134, 'neu': 0.802, 'pos': 0.064, 'compound': -0.9961}",-0.9961,neg,not sexist,0.997362554
30,1578,"{'neg': 0.142, 'neu': 0.71, 'pos': 0.148, 'compound': 0.0258}",0.0258,pos,not sexist,0.99736625
31,1765,"{'neg': 0.033, 'neu': 0.812, 'pos': 0.155, 'compound': 0.7964}",0.7964,pos,not sexist,0.99736625
32,1303,"{'neg': 0.157, 'neu': 0.673, 'pos': 0.17, 'compound': 0.1007}",0.1007,pos,not sexist,0.99736625
33,1838,"{'neg': 0.13, 'neu': 0.712, 'pos': 0.159, 'compound': 0.9828}",0.9828,pos,not sexist,0.99736625
34,836,"{'neg': 0.057, 'neu': 0.669, 'pos': 0.274, 'compound': 0.9743}",0.9743,pos,not sexist,0.99736625
35,374,"{'neg': 0.051, 'neu': 0.701, 'pos': 0.248, 'compound': 0.9943}",0.9943,pos,not sexist,0.997370839
36,599,"{'neg': 0.028, 'neu': 0.838, 'pos': 0.133, 'compound': 0.9879}",0.9879,pos,not sexist,0.997377515
37,1066,"{'neg': 0.072, 'neu': 0.782, 'pos': 0.146, 'compound': 0.8869}",0.8869,pos,not sexist,0.997377515
38,1358,"{'neg': 0.042, 'neu': 0.763, 'pos': 0.195, 'compound': 0.9939}",0.9939,pos,not sexist,0.997399211
39,1893,"{'neg': 0.0, 'neu': 0.383, 'pos': 0.617, 'compound': 0.906}",0.906,pos,not sexist,0.997399211
40,1633,"{'neg': 0.085, 'neu': 0.728, 'pos': 0.187, 'compound': 0.997}",0.997,pos,not sexist,0.997399211
41,1939,"{'neg': 0.029, 'neu': 0.766, 'pos': 0.205, 'compound': 0.9782}",0.9782,pos,not sexist,0.997399211
42,891,"{'neg': 0.028, 'neu': 0.851, 'pos': 0.121, 'compound': 0.9336}",0.9336,pos,not sexist,0.997399211
43,1691,"{'neg': 0.066, 'neu': 0.768, 'pos': 0.166, 'compound': 0.991}",0.991,pos,not sexist,0.997399211
44,1820,"{'neg': 0.061, 'neu': 0.718, 'pos': 0.221, 'compound': 0.9985}",0.9985,pos,not sexist,0.997399211
45,404,"{'neg': 0.027, 'neu': 0.739, 'pos': 0.234, 'compound': 0.9988}",0.9988,pos,not sexist,0.997402191
46,843,"{'neg': 0.147, 'neu': 0.801, 'pos': 0.052, 'compound': -0.9084}",-0.9084,neg,not sexist,0.997406542
47,1772,"{'neg': 0.139, 'neu': 0.734, 'pos': 0.127, 'compound': -0.7823}",-0.7823,neg,not sexist,0.997406542
48,1585,"{'neg': 0.141, 'neu': 0.772, 'pos': 0.087, 'compound': -0.9872}",-0.9872,neg,not sexist,0.997406542
49,1845,"{'neg': 0.09, 'neu': 0.733, 'pos': 0.177, 'compound': 0.996}",0.996,pos,not sexist,0.997406542
50,1310,"{'neg': 0.081, 'neu': 0.836, 'pos': 0.084, 'compound': 0.3265}",0.3265,pos,not sexist,0.997406542
51,41,"{'neg': 0.006, 'neu': 0.743, 'pos': 0.251, 'compound': 0.9975}",0.9975,pos,not sexist,0.997409284
52,85,"{'neg': 0.035, 'neu': 0.714, 'pos': 0.251, 'compound': 0.9997}",0.9997,pos,not sexist,0.997411191
53,1364,"{'neg': 0.028, 'neu': 0.728, 'pos': 0.244, 'compound': 0.9699}",0.9699,pos,not sexist,0.997413218
54,1945,"{'neg': 0.082, 'neu': 0.864, 'pos': 0.054, 'compound': -0.8683}",-0.8683,neg,not sexist,0.997413218
55,1957,"{'neg': 0.134, 'neu': 0.753, 'pos': 0.113, 'compound': -0.8799}",-0.8799,neg,not sexist,0.997413218
56,1697,"{'neg': 0.08, 'neu': 0.759, 'pos': 0.161, 'compound': 0.9979}",0.9979,pos,not sexist,0.997413218
57,1639,"{'neg': 0.07, 'neu': 0.825, 'pos': 0.104, 'compound': 0.9863}",0.9863,pos,not sexist,0.997413218
58,897,"{'neg': 0.014, 'neu': 0.696, 'pos': 0.29, 'compound': 0.9969}",0.9969,pos,not sexist,0.997413218
59,1826,"{'neg': 0.149, 'neu': 0.686, 'pos': 0.165, 'compound': 0.9437}",0.9437,pos,not sexist,0.997413218
60,1899,"{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}",0.0,pos,not sexist,0.997413218
61,1283,"{'neg': 0.059, 'neu': 0.709, 'pos': 0.232, 'compound': 0.9982}",0.9982,pos,not sexist,0.997416854
62,1745,"{'neg': 0.171, 'neu': 0.739, 'pos': 0.09, 'compound': -0.9093}",-0.9093,neg,not sexist,0.997416854
63,816,"{'neg': 0.053, 'neu': 0.834, 'pos': 0.113, 'compound': 0.9457}",0.9457,pos,not sexist,0.997416854
64,1558,"{'neg': 0.088, 'neu': 0.699, 'pos': 0.213, 'compound': 0.9987}",0.9987,pos,not sexist,0.997416854
65,231,"{'neg': 0.04, 'neu': 0.803, 'pos': 0.157, 'compound': 0.9971}",0.9971,pos,not sexist,0.997421026
66,77,"{'neg': 0.011, 'neu': 0.776, 'pos': 0.212, 'compound': 0.9861}",0.9861,pos,not sexist,0.997421145
67,1020,"{'neg': 0.16, 'neu': 0.755, 'pos': 0.084, 'compound': -0.998}",-0.998,neg,not sexist,0.997422576
68,553,"{'neg': 0.012, 'neu': 0.814, 'pos': 0.175, 'compound': 0.9894}",0.9894,pos,not sexist,0.997422576
69,355,"{'neg': 0.031, 'neu': 0.66, 'pos': 0.309, 'compound': 0.9995}",0.9995,pos,not sexist,0.997422934
70,59,"{'neg': 0.043, 'neu': 0.837, 'pos': 0.12, 'compound': 0.9959}",0.9959,pos,not sexist,0.997423291
71,434,"{'neg': 0.047, 'neu': 0.811, 'pos': 0.142, 'compound': 0.9134}",0.9134,pos,not sexist,0.99742353
72,944,"{'neg': 0.031, 'neu': 0.64, 'pos': 0.328, 'compound': 0.9813}",0.9813,pos,not sexist,0.997426927
73,477,"{'neg': 0.039, 'neu': 0.79, 'pos': 0.172, 'compound': 0.9971}",0.9971,pos,not sexist,0.997426927
74,514,"{'neg': 0.037, 'neu': 0.906, 'pos': 0.056, 'compound': 0.6681}",0.6681,pos,not sexist,0.997430146
75,981,"{'neg': 0.136, 'neu': 0.721, 'pos': 0.143, 'compound': -0.0922}",-0.0922,neg,not sexist,0.997430146
76,237,"{'neg': 0.064, 'neu': 0.774, 'pos': 0.161, 'compound': 0.9874}",0.9874,pos,not sexist,0.997442842
77,1378,"{'neg': 0.098, 'neu': 0.654, 'pos': 0.248, 'compound': 0.998}",0.998,pos,not sexist,0.997444749
78,636,"{'neg': 0.081, 'neu': 0.773, 'pos': 0.145, 'compound': 0.9919}",0.9919,pos,not sexist,0.997444749
79,1103,"{'neg': 0.0, 'neu': 0.791, 'pos': 0.209, 'compound': 0.9904}",0.9904,pos,not sexist,0.997444749
80,624,"{'neg': 0.099, 'neu': 0.736, 'pos': 0.165, 'compound': 0.9991}",0.9991,pos,not sexist,0.997446656
81,1091,"{'neg': 0.087, 'neu': 0.716, 'pos': 0.196, 'compound': 0.9915}",0.9915,pos,not sexist,0.997446656
82,1723,"{'neg': 0.078, 'neu': 0.642, 'pos': 0.28, 'compound': 0.9437}",0.9437,pos,not sexist,0.997448623
83,1261,"{'neg': 0.085, 'neu': 0.76, 'pos': 0.154, 'compound': 0.9645}",0.9645,pos,not sexist,0.997448623
84,1536,"{'neg': 0.03, 'neu': 0.857, 'pos': 0.114, 'compound': 0.7718}",0.7718,pos,not sexist,0.997448623
85,794,"{'neg': 0.133, 'neu': 0.753, 'pos': 0.114, 'compound': -0.9149}",-0.9149,neg,not sexist,0.997448623
86,1508,"{'neg': 0.021, 'neu': 0.83, 'pos': 0.149, 'compound': 0.9814}",0.9814,pos,not sexist,0.997451723
87,766,"{'neg': 0.075, 'neu': 0.54, 'pos': 0.385, 'compound': 0.9916}",0.9916,pos,not sexist,0.997451723
88,1233,"{'neg': 0.106, 'neu': 0.544, 'pos': 0.35, 'compound': 0.8966}",0.8966,pos,not sexist,0.997451723
89,69,"{'neg': 0.093, 'neu': 0.777, 'pos': 0.13, 'compound': 0.9403}",0.9403,pos,not sexist,0.997453392
90,302,"{'neg': 0.0, 'neu': 0.845, 'pos': 0.155, 'compound': 0.98}",0.98,pos,not sexist,0.997454941
91,223,"{'neg': 0.064, 'neu': 0.809, 'pos': 0.128, 'compound': 0.9972}",0.9972,pos,not sexist,0.997455657
92,1911,"{'neg': 0.095, 'neu': 0.62, 'pos': 0.286, 'compound': 0.9995}",0.9995,pos,not sexist,0.997458875
93,1663,"{'neg': 0.088, 'neu': 0.766, 'pos': 0.147, 'compound': 0.8218}",0.8218,pos,not sexist,0.997458875
94,1865,"{'neg': 0.015, 'neu': 0.777, 'pos': 0.208, 'compound': 0.9972}",0.9972,pos,not sexist,0.997458875
95,1605,"{'neg': 0.061, 'neu': 0.727, 'pos': 0.213, 'compound': 0.9951}",0.9951,pos,not sexist,0.997458875
96,863,"{'neg': 0.08, 'neu': 0.804, 'pos': 0.116, 'compound': 0.9461}",0.9461,pos,not sexist,0.997458875
97,1792,"{'neg': 0.176, 'neu': 0.706, 'pos': 0.117, 'compound': -0.8502}",-0.8502,neg,not sexist,0.997458875
98,1330,"{'neg': 0.064, 'neu': 0.837, 'pos': 0.099, 'compound': 0.9717}",0.9717,pos,not sexist,0.997458875
99,290,"{'neg': 0.089, 'neu': 0.772, 'pos': 0.139, 'compound': 0.8289}",0.8289,pos,not sexist,0.997459352
100,1440,"{'neg': 0.183, 'neu': 0.704, 'pos': 0.114, 'compound': -0.9483}",-0.9483,neg,not sexist,0.99745959
101,698,"{'neg': 0.104, 'neu': 0.75, 'pos': 0.146, 'compound': 0.9802}",0.9802,pos,not sexist,0.99745959
102,1165,"{'neg': 0.049, 'neu': 0.858, 'pos': 0.093, 'compound': 0.9278}",0.9278,pos,not sexist,0.99745959
103,33,"{'neg': 0.099, 'neu': 0.758, 'pos': 0.143, 'compound': 0.9693}",0.9693,pos,not sexist,0.997463703
104,8,"{'neg': 0.075, 'neu': 0.834, 'pos': 0.09, 'compound': 0.8967}",0.8967,pos,not sexist,0.99746716
105,1235,"{'neg': 0.061, 'neu': 0.761, 'pos': 0.179, 'compound': 0.9581}",0.9581,pos,not sexist,0.997472227
106,1510,"{'neg': 0.057, 'neu': 0.743, 'pos': 0.199, 'compound': 0.9211}",0.9211,pos,not sexist,0.997472227
107,768,"{'neg': 0.072, 'neu': 0.769, 'pos': 0.159, 'compound': 0.9793}",0.9793,pos,not sexist,0.997472227
108,83,"{'neg': 0.061, 'neu': 0.779, 'pos': 0.159, 'compound': 0.9768}",0.9768,pos,not sexist,0.997473657
109,6,"{'neg': 0.066, 'neu': 0.75, 'pos': 0.183, 'compound': 0.9302}",0.9302,pos,not sexist,0.997475326
110,927,"{'neg': 0.048, 'neu': 0.871, 'pos': 0.081, 'compound': 0.9241}",0.9241,pos,not sexist,0.997479022
111,460,"{'neg': 0.044, 'neu': 0.747, 'pos': 0.21, 'compound': 0.9977}",0.9977,pos,not sexist,0.997479022
112,241,"{'neg': 0.065, 'neu': 0.741, 'pos': 0.193, 'compound': 0.9873}",0.9873,pos,not sexist,0.99748224
113,907,"{'neg': 0.089, 'neu': 0.808, 'pos': 0.103, 'compound': 0.8019}",0.8019,pos,not sexist,0.997482479
114,440,"{'neg': 0.028, 'neu': 0.727, 'pos': 0.245, 'compound': 0.9956}",0.9956,pos,not sexist,0.997482479
115,1384,"{'neg': 0.121, 'neu': 0.696, 'pos': 0.183, 'compound': 0.8287}",0.8287,pos,not sexist,0.997485995
116,642,"{'neg': 0.03, 'neu': 0.802, 'pos': 0.168, 'compound': 0.9987}",0.9987,pos,not sexist,0.997485995
117,1109,"{'neg': 0.031, 'neu': 0.655, 'pos': 0.315, 'compound': 0.9869}",0.9869,pos,not sexist,0.997485995
118,983,"{'neg': 0.147, 'neu': 0.742, 'pos': 0.11, 'compound': -0.9277}",-0.9277,neg,not sexist,0.997486949
119,516,"{'neg': 0.085, 'neu': 0.746, 'pos': 0.169, 'compound': 0.9959}",0.9959,pos,not sexist,0.997486949
120,557,"{'neg': 0.009, 'neu': 0.77, 'pos': 0.221, 'compound': 0.9882}",0.9882,pos,not sexist,0.997488379
121,1024,"{'neg': 0.07, 'neu': 0.678, 'pos': 0.252, 'compound': 0.9991}",0.9991,pos,not sexist,0.997488379
122,539,"{'neg': 0.081, 'neu': 0.797, 'pos': 0.122, 'compound': 0.9926}",0.9926,pos,not sexist,0.997489452
123,1006,"{'neg': 0.035, 'neu': 0.806, 'pos': 0.159, 'compound': 0.9858}",0.9858,pos,not sexist,0.997489452
124,380,"{'neg': 0.118, 'neu': 0.74, 'pos': 0.143, 'compound': 0.9414}",0.9414,pos,not sexist,0.997489572
125,278,"{'neg': 0.087, 'neu': 0.689, 'pos': 0.223, 'compound': 0.9995}",0.9995,pos,not sexist,0.997490525
126,107,"{'neg': 0.04, 'neu': 0.793, 'pos': 0.167, 'compound': 0.9918}",0.9918,pos,not sexist,0.997494102
127,0,"{'neg': 0.07, 'neu': 0.725, 'pos': 0.205, 'compound': 0.9977}",0.9977,pos,not sexist,0.997496665
128,233,"{'neg': 0.083, 'neu': 0.87, 'pos': 0.047, 'compound': -0.9563}",-0.9563,neg,not sexist,0.997498333
129,1206,"{'neg': 0.129, 'neu': 0.747, 'pos': 0.124, 'compound': -0.8505}",-0.8505,neg,not sexist,0.997505605
130,1875,"{'neg': 0.016, 'neu': 0.717, 'pos': 0.267, 'compound': 0.988}",0.988,pos,not sexist,0.997505605
131,1802,"{'neg': 0.041, 'neu': 0.75, 'pos': 0.21, 'compound': 0.9928}",0.9928,pos,not sexist,0.997505605
132,873,"{'neg': 0.107, 'neu': 0.75, 'pos': 0.143, 'compound': 0.9373}",0.9373,pos,not sexist,0.997505605
133,1481,"{'neg': 0.078, 'neu': 0.647, 'pos': 0.275, 'compound': 0.8467}",0.8467,pos,not sexist,0.997505605
134,1921,"{'neg': 0.175, 'neu': 0.678, 'pos': 0.147, 'compound': -0.9111}",-0.9111,neg,not sexist,0.997505605
135,739,"{'neg': 0.0, 'neu': 0.742, 'pos': 0.258, 'compound': 0.8546}",0.8546,pos,not sexist,0.997505605
136,1340,"{'neg': 0.06, 'neu': 0.79, 'pos': 0.15, 'compound': 0.9502}",0.9502,pos,not sexist,0.997505605
137,1615,"{'neg': 0.067, 'neu': 0.752, 'pos': 0.181, 'compound': 0.9994}",0.9994,pos,not sexist,0.997505605
138,1673,"{'neg': 0.014, 'neu': 0.837, 'pos': 0.149, 'compound': 0.9647}",0.9647,pos,not sexist,0.997505605
139,1770,"{'neg': 0.21, 'neu': 0.694, 'pos': 0.095, 'compound': -0.9372}",-0.9372,neg,not sexist,0.997508526
140,1843,"{'neg': 0.172, 'neu': 0.695, 'pos': 0.133, 'compound': -0.7954}",-0.7954,neg,not sexist,0.997508526
141,1308,"{'neg': 0.094, 'neu': 0.779, 'pos': 0.128, 'compound': 0.6036}",0.6036,pos,not sexist,0.997508526
142,841,"{'neg': 0.074, 'neu': 0.768, 'pos': 0.158, 'compound': 0.9983}",0.9983,pos,not sexist,0.997508526
143,1583,"{'neg': 0.125, 'neu': 0.791, 'pos': 0.084, 'compound': -0.9765}",-0.9765,neg,not sexist,0.997508526
144,1362,"{'neg': 0.082, 'neu': 0.646, 'pos': 0.272, 'compound': 0.9894}",0.9894,pos,not sexist,0.997510314
145,1897,"{'neg': 0.076, 'neu': 0.702, 'pos': 0.223, 'compound': 0.9795}",0.9795,pos,not sexist,0.997510314
146,1943,"{'neg': 0.026, 'neu': 0.842, 'pos': 0.132, 'compound': 0.9923}",0.9923,pos,not sexist,0.997510314
147,1637,"{'neg': 0.11, 'neu': 0.862, 'pos': 0.028, 'compound': -0.5859}",-0.5859,neg,not sexist,0.997510314
148,1824,"{'neg': 0.178, 'neu': 0.71, 'pos': 0.111, 'compound': -0.9976}",-0.9976,neg,not sexist,0.997510314
149,1695,"{'neg': 0.049, 'neu': 0.75, 'pos': 0.201, 'compound': 0.9995}",0.9995,pos,not sexist,0.997510314
150,895,"{'neg': 0.038, 'neu': 0.695, 'pos': 0.267, 'compound': 0.9978}",0.9978,pos,not sexist,0.997510314
151,1955,"{'neg': 0.0, 'neu': 0.643, 'pos': 0.357, 'compound': 0.9812}",0.9812,pos,not sexist,0.997510314
152,1562,"{'neg': 0.122, 'neu': 0.792, 'pos': 0.086, 'compound': -0.9644}",-0.9644,neg,not sexist,0.99751091
153,1287,"{'neg': 0.056, 'neu': 0.672, 'pos': 0.272, 'compound': 0.9997}",0.9997,pos,not sexist,0.99751091
154,820,"{'neg': 0.037, 'neu': 0.839, 'pos': 0.124, 'compound': 0.7865}",0.7865,pos,not sexist,0.99751091
155,1749,"{'neg': 0.088, 'neu': 0.912, 'pos': 0.0, 'compound': -0.891}",-0.891,neg,not sexist,0.99751091
156,288,"{'neg': 0.142, 'neu': 0.656, 'pos': 0.203, 'compound': 0.9897}",0.9897,pos,not sexist,0.997513056
157,1434,"{'neg': 0.079, 'neu': 0.796, 'pos': 0.125, 'compound': 0.9775}",0.9775,pos,not sexist,0.997513294
158,1159,"{'neg': 0.114, 'neu': 0.658, 'pos': 0.228, 'compound': 0.9694}",0.9694,pos,not sexist,0.997513294
159,692,"{'neg': 0.0, 'neu': 0.911, 'pos': 0.089, 'compound': 0.4833}",0.4833,pos,not sexist,0.997513294
160,438,"{'neg': 0.026, 'neu': 0.812, 'pos': 0.161, 'compound': 0.9837}",0.9837,pos,not sexist,0.997516155
161,905,"{'neg': 0.12, 'neu': 0.699, 'pos': 0.181, 'compound': 0.9974}",0.9974,pos,not sexist,0.997516155
162,1222,"{'neg': 0.059, 'neu': 0.662, 'pos': 0.279, 'compound': 0.9652}",0.9652,pos,not sexist,0.997516632
163,755,"{'neg': 0.1, 'neu': 0.694, 'pos': 0.207, 'compound': 0.9894}",0.9894,pos,not sexist,0.997516632
164,1497,"{'neg': 0.049, 'neu': 0.795, 'pos': 0.156, 'compound': 0.9827}",0.9827,pos,not sexist,0.997516632
165,308,"{'neg': 0.055, 'neu': 0.597, 'pos': 0.348, 'compound': 0.9929}",0.9929,pos,not sexist,0.997526348
166,937,"{'neg': 0.007, 'neu': 0.738, 'pos': 0.255, 'compound': 0.9972}",0.9972,pos,not sexist,0.997527421
167,470,"{'neg': 0.049, 'neu': 0.793, 'pos': 0.158, 'compound': 0.9867}",0.9867,pos,not sexist,0.997527421
168,245,"{'neg': 0.097, 'neu': 0.82, 'pos': 0.083, 'compound': -0.7134}",-0.7134,neg,not sexist,0.997529089
169,1784,"{'neg': 0.14, 'neu': 0.785, 'pos': 0.076, 'compound': -0.9926}",-0.9926,neg,not sexist,0.997530282
170,1597,"{'neg': 0.116, 'neu': 0.643, 'pos': 0.241, 'compound': 0.9436}",0.9436,pos,not sexist,0.997530282
171,1857,"{'neg': 0.09, 'neu': 0.768, 'pos': 0.142, 'compound': 0.9859}",0.9859,pos,not sexist,0.997530282
172,1655,"{'neg': 0.076, 'neu': 0.794, 'pos': 0.131, 'compound': 0.9962}",0.9962,pos,not sexist,0.997530282
173,855,"{'neg': 0.129, 'neu': 0.637, 'pos': 0.234, 'compound': 0.9882}",0.9882,pos,not sexist,0.997530282
174,1322,"{'neg': 0.069, 'neu': 0.7, 'pos': 0.231, 'compound': 0.9993}",0.9993,pos,not sexist,0.997530282
175,143,"{'neg': 0.104, 'neu': 0.76, 'pos': 0.137, 'compound': 0.381}",0.381,pos,not sexist,0.997531652
176,153,"{'neg': 0.034, 'neu': 0.869, 'pos': 0.097, 'compound': 0.975}",0.975,pos,not sexist,0.997531652
177,996,"{'neg': 0.182, 'neu': 0.455, 'pos': 0.363, 'compound': 0.5563}",0.5563,pos,not sexist,0.997532606
178,529,"{'neg': 0.107, 'neu': 0.716, 'pos': 0.177, 'compound': 0.9213}",0.9213,pos,not sexist,0.997532606
179,1462,"{'neg': 0.106, 'neu': 0.769, 'pos': 0.125, 'compound': 0.5766}",0.5766,pos,not sexist,0.997536063
180,1187,"{'neg': 0.036, 'neu': 0.894, 'pos': 0.069, 'compound': 0.8672}",0.8672,pos,not sexist,0.997536063
181,720,"{'neg': 0.063, 'neu': 0.748, 'pos': 0.189, 'compound': 0.9904}",0.9904,pos,not sexist,0.997536063
182,95,"{'neg': 0.026, 'neu': 0.827, 'pos': 0.147, 'compound': 0.9912}",0.9912,pos,not sexist,0.997537613
183,1796,"{'neg': 0.153, 'neu': 0.689, 'pos': 0.158, 'compound': -0.455}",-0.455,neg,not sexist,0.997539639
184,1667,"{'neg': 0.0, 'neu': 0.785, 'pos': 0.215, 'compound': 0.743}",0.743,pos,not sexist,0.997539639
185,1334,"{'neg': 0.087, 'neu': 0.749, 'pos': 0.164, 'compound': 0.9872}",0.9872,pos,not sexist,0.997539639
186,867,"{'neg': 0.072, 'neu': 0.755, 'pos': 0.172, 'compound': 0.9588}",0.9588,pos,not sexist,0.997539639
187,1609,"{'neg': 0.063, 'neu': 0.749, 'pos': 0.188, 'compound': 0.9954}",0.9954,pos,not sexist,0.997539639
188,1915,"{'neg': 0.137, 'neu': 0.744, 'pos': 0.118, 'compound': -0.9579}",-0.9579,neg,not sexist,0.997539639
189,1869,"{'neg': 0.064, 'neu': 0.747, 'pos': 0.189, 'compound': 0.9983}",0.9983,pos,not sexist,0.997539639
190,55,"{'neg': 0.1, 'neu': 0.684, 'pos': 0.216, 'compound': 0.9993}",0.9993,pos,not sexist,0.997539878
191,213,"{'neg': 0.068, 'neu': 0.746, 'pos': 0.186, 'compound': 0.9884}",0.9884,pos,not sexist,0.997540593
192,646,"{'neg': 0.048, 'neu': 0.848, 'pos': 0.105, 'compound': 0.9796}",0.9796,pos,not sexist,0.997541904
193,1113,"{'neg': 0.045, 'neu': 0.655, 'pos': 0.301, 'compound': 0.9934}",0.9934,pos,not sexist,0.997541904
194,1388,"{'neg': 0.101, 'neu': 0.63, 'pos': 0.269, 'compound': 0.9967}",0.9967,pos,not sexist,0.997541904
195,343,"{'neg': 0.056, 'neu': 0.759, 'pos': 0.185, 'compound': 0.7574}",0.7574,pos,not sexist,0.997542381
196,397,"{'neg': 0.097, 'neu': 0.735, 'pos': 0.167, 'compound': 0.9716}",0.9716,pos,not sexist,0.9975425
197,428,"{'neg': 0.054, 'neu': 0.714, 'pos': 0.233, 'compound': 0.999}",0.999,pos,not sexist,0.997543991
198,325,"{'neg': 0.036, 'neu': 0.832, 'pos': 0.132, 'compound': 0.9941}",0.9941,pos,not sexist,0.99754554
199,157,"{'neg': 0.052, 'neu': 0.604, 'pos': 0.344, 'compound': 0.9987}",0.9987,pos,not sexist,0.997552931
200,430,"{'neg': 0.056, 'neu': 0.813, 'pos': 0.131, 'compound': 0.9656}",0.9656,pos,not sexist,0.997552931
201,1097,"{'neg': 0.011, 'neu': 0.707, 'pos': 0.282, 'compound': 0.9962}",0.9962,pos,not sexist,0.997554004
202,630,"{'neg': 0.033, 'neu': 0.903, 'pos': 0.064, 'compound': 0.8046}",0.8046,pos,not sexist,0.997554004
203,1372,"{'neg': 0.039, 'neu': 0.612, 'pos': 0.349, 'compound': 0.9963}",0.9963,pos,not sexist,0.997554004
204,272,"{'neg': 0.042, 'neu': 0.788, 'pos': 0.17, 'compound': 0.9891}",0.9891,pos,not sexist,0.997554123
205,1022,"{'neg': 0.09, 'neu': 0.726, 'pos': 0.183, 'compound': 0.998}",0.998,pos,not sexist,0.997555435
206,555,"{'neg': 0.098, 'neu': 0.73, 'pos': 0.173, 'compound': 0.963}",0.963,pos,not sexist,0.997555435
207,371,"{'neg': 0.045, 'neu': 0.871, 'pos': 0.084, 'compound': 0.6433}",0.6433,pos,not sexist,0.997555852
208,418,"{'neg': 0.083, 'neu': 0.739, 'pos': 0.178, 'compound': 0.9982}",0.9982,pos,not sexist,0.997556567
